Abandon,əˈbændən,"포기하다,버리다,버리는 것"
Accomplish,əˈkɑːmplɪʃ,"달성하다,성취하다,완수하다"
Acquire,əˈkwaɪər,"습득하다,획득하다,얻다"
Adapt,əˈdæpt,"적응하다,순응하다,조정하다"
Adequate,ˈædɪkwət,"충분한,적절한,알맞은"
Advocate,ˈædvəkeɪt,"옹호하다,지지하다,주장하다"
Ambitious,æmˈbɪʃəs,"야심찬,포부 있는,간절한"
Ample,ˈæmpl,"충분한,넉넉한,풍부한"
Appreciate,əˈpriːʃieɪt,"감사하다,진가를 알다,이해하다"
Assert,əˈsɜːrt,"주장하다,단언하다,확언하다"
Attain,əˈteɪn,"달성하다,얻다,이루다"
Authentic,ɔːˈθɛntɪk,"진정한,진짜의,신뢰할 만한"
Bold,boʊld,"대담한,과감한,용감한"
Collaborate,kəˈlæbəreɪt,"협력하다,공동으로 일하다,협동하다"
Comprehend,ˌkɑːmprɪˈhɛnd,"이해하다,이해력을 갖다,파악하다"
Conquer,ˈkɑːŋkər,"정복하다,이기다,극복하다"
Diverse,daɪˈvɜːrs,"다양한,다른,다채로운"
Eminent,ˈɛmɪnənt,"저명한,뛰어난,유명한"
Engage,ɪnˈɡeɪdʒ,"참여하다,관여하다,매혹시키다"
Enhance,ɪnˈhæns,"강화하다,향상시키다,높이다"
Enrich,ɪnˈrɪtʃ,"풍요롭게 하다,풍부하게 하다,부풀리다"
Evolve,ɪˈvɑːlv,"진화하다,발전하다,변화하다"
Exemplify,ɪɡˈzɛmplɪˌfaɪ,"전형적인,모범적인,보여주다"
Flourish,ˈflɜːrɪʃ,"번성하다,번창하다,발전하다"
Illuminate,ɪˈluːmɪˌneɪt,"밝히다,비추다,명료하게 설명하다"
Impartial,ɪmˈpɑːrʃəl,"공정한,공평한,편견이 없는"
Inclusive,ɪnˈkluːsɪv,"포괄적인,포함하는,포용적인"
Inspire,ɪnˈspaɪər,"영감을 주다,고무하다,격려하다"
Integrate,ˈɪntɪɡreɪt,"통합하다,통일시키다,결합하다"
Intricate,ˈɪntrɪkɪt,"복잡한,얽힌,미묘한"
Justify,ˈdʒʌstɪfaɪ,"정당화하다,옳다고 입증하다,합당하게 만들다"
Lavish,ˈlævɪʃ,"낭비하다,아낌없이 주다,사치스러운"
Notorious,noʊˈtɔːriəs,"악명 높은,유명한(나쁜 면에서)"
Optimize,ˈɑːptɪmaɪz,"최적화하다,최대한 이용하다,최상으로 만들다"
Persevere,ˌpɜːrsəˈvɪr,"인내하다,끈기 있게 계속하다,참다"
Proficient,prəˈfɪʃənt,"능숙한,숙달된,능력있는"
Resilient,rɪˈzɪliənt,"탄력 있는,회복력 있는,복구력이 강한"
Stimulate,ˈstɪmjəleɪt,"자극하다,촉진하다,활성화시키다"
Transcend,trænˈsɛnd,"초월하다,뛰어나다,넘어서다"
Zeal,ziːl,"열정,열의,힘찬 동경"
