あいさつ,,"인사,인사하다"
初め,はじめ,"시작,첫머리"
印象,いんしょう,"인상"
失礼,しつれい,"실례,실례하다"
申す,もうす,"말씀드리다((말하다)의 겸양어)"
名刺,めいし,"명함"
訪問,ほうもん,"방문,방문하다"
伺う,うかがう,"듣다,방문하다"
前もって,まえもって,"사전에,미리"
じゃま,,"방해,실례하다,방문하다"
忙しい,いそがしい,"바쁘다"
恐れ,おそれ,"두려움,염려"
礼儀,れいぎ,"예의"
先に,さきに,"먼저,전에,앞서"
苦労,くろう,"고생,고생하다,애쓰다"
疲れる,つかれる,"지치다,피로해지다"
大事,だいじ,"소중하다,중요하다"
偶然,ぐうぜん,"우연히,우연"
しばらく,,"잠시동안,당분간,오랜만이다."
元気,げんき,"건강하다"
笑顔,えがお,"웃는 얼굴"
相変わらず,あいかわらず,"변함없이"
過ごす,すごす,"보내다,지내다"
変わる,かわる,"변하다,바뀌다"
世話,せわ,"보살핌,신세,폐,보살피다,소개하다,번거롭다"
お礼,おれい,"사례,감사"
伝える,つたえる,"전하다"
返事,へんじ,"답장,대답"
送る,おくる,"보내다,부치다"
配達,はいたつ,"배달,배달하다"
届く,とどく,"닿다,도착하다"
拝啓,はいけい,"배계('삼가아룁니다.'라는 뜻으로 편지 첫머리에 씀)"
先日,せんじつ,"전날"
祈る,いのる,"빌다,기도하다,바라다"
以下,いか,"이하"
知らせる,しらせる,"알리다"
年賀状,ねんがじょう,"연하장"
年末年始,ねんまつねんし,"연말연시"
お歳暮,おせいぼ,"연말,연말에 신세진 사람에게 보내는 선물"
しっかり,,"견고하게,단단히,꽉,확실하게"
